Dataset,Dataset_Type,MLP_BA,Accuracy,F1,Time,Hyperparameters
mfeat_fourier,top,0.8375,0.8375,0.8374687731926407,2.355488099972717,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Sigmoid, Epochs=50"
mfeat_karhunen,top,0.963,0.963,0.9630063570798284,0.8251107999822125,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
mfeat_pixel,top,0.9715,0.9715,0.9714884869840495,0.9550062000053005,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=64, Activation_Function=Sigmoid, Epochs=50"
mfeat_zernike,top,0.841,0.841,0.8364322208138157,2.253164699999616,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Sigmoid, Epochs=50"
mofn_3_7_10,top,1.0,1.0,1.0,0.5404245000099763,"Hidden_Neurons=8, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
molecular_biology_promoters,top,0.8018867924528302,0.8018867924528302,0.8014450093658014,0.0866897000232711,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Sigmoid, Epochs=50"
monk3,top,0.9871292815371764,0.9873646209386282,0.9873388379025176,0.4048367999494076,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
mushroom,top,0.9998723186925432,0.9998769079271296,0.999876747605996,2.5917939000064507,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
mux6,top,0.9140625,0.9140625,0.914057254471098,0.2046511999797076,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
optdigits,top,0.9850588343593902,0.9850533807829182,0.9850673767736116,2.2463060000445694,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=64, Activation_Function=ReLU, Epochs=50"
pendigits,top,0.9930085479303636,0.9929949053857352,0.9930185750380144,3.97046500002034,"Hidden_Neurons=128, Learning_Rate=0.001, Batch_Size=64, Activation_Function=ReLU, Epochs=50"
penguins,top,0.9879129734085416,0.990990990990991,0.9891796233093162,0.2469731000019237,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
prnn_crabs,top,0.99,0.99,0.98999899989999,0.1922032000729814,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
prnn_synth,top,0.868,0.868,0.8678287060029799,0.0697262999601662,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=32, Activation_Function=ReLU, Epochs=50"
segmentation,top,0.9696969696969698,0.9696969696969696,0.969762923648617,1.217425699927844,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
soybean,top,0.9517001114827202,0.914074074074074,0.948790981105778,0.4128691999940201,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
spambase,top,0.9446133100570484,0.9478374266463812,0.945299775302272,1.566010699956678,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=64, Activation_Function=Tanh, Epochs=50"
splice,top,0.9234657601954138,0.9222082810539524,0.9165311324774926,9.338893300038762,"Hidden_Neurons=128, Learning_Rate=0.001, Batch_Size=8, Activation_Function=Sigmoid, Epochs=50"
texture,top,0.9965454545454544,0.9965454545454544,0.9965458025762004,0.9557278999127448,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=128, Activation_Function=Tanh, Epochs=50"
threeOf9,top,0.986398208918604,0.986328125,0.9862639363174012,0.5912628999212757,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
tokyo1,top,0.926281718828089,0.9290928050052136,0.923606425251162,0.4870589999482035,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Sigmoid, Epochs=50"
twonorm,top,0.9786479771973552,0.9786486486486486,0.9786485925017772,0.5518856999697164,"Hidden_Neurons=8, Learning_Rate=0.01, Batch_Size=128, Activation_Function=ReLU, Epochs=50"
vowel,top,0.9707070707070709,0.9707070707070709,0.9706361700920998,1.2958248999202624,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
waveform_21,top,0.8717869145765285,0.872,0.8715647984842372,2.7140266000060365,"Hidden_Neurons=64, Learning_Rate=0.001, Batch_Size=16, Activation_Function=Sigmoid, Epochs=50"
waveform_40,top,0.8681120071345548,0.8678,0.8676870056150688,3.788652000017464,"Hidden_Neurons=128, Learning_Rate=0.0001, Batch_Size=16, Activation_Function=Tanh, Epochs=50"
wine_recognition,top,0.9812206572769954,0.9775280898876404,0.9779798876072168,0.1089273999677971,"Hidden_Neurons=16, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
xd6,top,1.0,1.0,1.0,0.537873400026001,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
