rank,dataset,classifier,params,accuracy,macro_f1,balanced_accuracy,source_file
48,splice,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.592848181,0.572995541,0.687073197,splice.tsv.gz
49,mofn_3_7_10,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.590634441,0.528091897,0.563050865,mofn_3_7_10.tsv.gz
50,monk2,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.589018303,0.515583547,0.517782967,monk2.tsv.gz
51,xd6,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.58684481,0.56918451,0.585303546,xd6.tsv.gz
52,lupus,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.586206897,0.565482797,0.56510989,lupus.tsv.gz
53,ionosphere,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.584045584,0.554072398,0.555079365,ionosphere.tsv.gz
54,car_evaluation,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.58275463,0.292674529,0.541219428,car_evaluation.tsv.gz
55,magic,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.579495268,0.5753731,0.60338941,magic.tsv.gz
56,twonorm,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.575810811,0.574326324,0.575859071,twonorm.tsv.gz
57,corral,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.575,0.565217391,0.565079365,corral.tsv.gz
