"rank","dataset","classifier","balanced_accuracy","accuracy","macro_f1","source_file"
"79","yeast.tsv.gz","RandomForestClassifier","0.739647526","0.621365788","0.540988109","yeast.tsv.gz"
"80","adult.tsv.gz","RandomForestClassifier","0.723890595","0.84279923","0.751800887","adult.tsv.gz"
"81","sleep.tsv.gz","RandomForestClassifier","0.721317975","0.709124901","0.54964496","sleep.tsv.gz"
"82","hepatitis.tsv.gz","RandomForestClassifier","0.717479675","0.84516129","0.738470191","hepatitis.tsv.gz"
"83","analcatdata_cyyoung8092.tsv.gz","RandomForestClassifier","0.715753425","0.824742268","0.737127371","analcatdata_cyyoung8092.tsv.gz"
"84","lupus.tsv.gz","RandomForestClassifier","0.713461538","0.735632184","0.717572336","lupus.tsv.gz"
"85","shuttle.tsv.gz","RandomForestClassifier","0.712503069","0.99487931","0.426238948","shuttle.tsv.gz"
"86","analcatdata_cyyoung9302.tsv.gz","RandomForestClassifier","0.709444845","0.847826087","0.735197368","analcatdata_cyyoung9302.tsv.gz"
"87","analcatdata_boxing1.tsv.gz","RandomForestClassifier","0.695970696","0.733333333","0.7","analcatdata_boxing1.tsv.gz"
"88","fars.tsv.gz","RandomForestClassifier","0.695904594","0.769778544","0.390991079","fars.tsv.gz"
"89","spect.tsv.gz","RandomForestClassifier","0.682118353","0.805243446","0.689534884","spect.tsv.gz"
"90","analcatdata_boxing2.tsv.gz","RandomForestClassifier","0.680096975","0.689393939","0.679668541","analcatdata_boxing2.tsv.gz"
"91","flags.tsv.gz","RandomForestClassifier","0.665017039","0.52247191","0.455665999","flags.tsv.gz"
"92","allrep.tsv.gz","RandomForestClassifier","0.657716273","0.975609756","0.500098707","allrep.tsv.gz"
"93","allbp.tsv.gz","RandomForestClassifier","0.65258943","0.971367975","0.530077088","allbp.tsv.gz"
"94","cloud.tsv.gz","RandomForestClassifier","0.652365288","0.481481481","0.475519132","cloud.tsv.gz"
"95","krkopt.tsv.gz","RandomForestClassifier","0.636582689","0.416666667","0.292053505","krkopt.tsv.gz"
"96","analcatdata_aids.tsv.gz","RandomForestClassifier","0.62","0.62","0.618627057","analcatdata_aids.tsv.gz"
"97","breast_cancer.tsv.gz","RandomForestClassifier","0.608838162","0.741258741","0.614499089","breast_cancer.tsv.gz"
"98","analcatdata_fraud.tsv.gz","RandomForestClassifier","0.606100796","0.69047619","0.610833927","analcatdata_fraud.tsv.gz"
"99","wine_quality_red.tsv.gz","RandomForestClassifier","0.602236852","0.644777986","0.304001556","wine_quality_red.tsv.gz"
"100","saheart.tsv.gz","RandomForestClassifier","0.599379139","0.664502165","0.602067183","saheart.tsv.gz"
"101","bupa.tsv.gz","RandomForestClassifier","0.571779182","0.571014493","0.570722357","bupa.tsv.gz"
"102","Hill_Valley_with_noise.tsv.gz","RandomForestClassifier","0.566831683","0.566831683","0.564690614","Hill_Valley_with_noise.tsv.gz"
"103","allhyper.tsv.gz","RandomForestClassifier","0.561766182","0.977989923","0.351963523","allhyper.tsv.gz"
"104","Hill_Valley_without_noise.tsv.gz","RandomForestClassifier","0.55995098","0.561056106","0.554946921","Hill_Valley_without_noise.tsv.gz"
"105","wine_quality_white.tsv.gz","RandomForestClassifier","0.555527446","0.548182932","0.214816469","wine_quality_white.tsv.gz"
"106","haberman.tsv.gz","RandomForestClassifier","0.548641975","0.725490196","0.541","haberman.tsv.gz"
"107","profb.tsv.gz","RandomForestClassifier","0.544642857","0.671130952","0.520085311","profb.tsv.gz"
"108","analcatdata_germangss.tsv.gz","RandomForestClassifier","0.526666667","0.29","0.289028044","analcatdata_germangss.tsv.gz"
"109","schizo.tsv.gz","RandomForestClassifier","0.525982496","0.547058824","0.359279249","schizo.tsv.gz"
"110","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz","RandomForestClassifier","0.52125","0.52125","0.508059065","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz"
"111","analcatdata_dmft.tsv.gz","RandomForestClassifier","0.517480272","0.195734003","0.195647176","analcatdata_dmft.tsv.gz"
"112","backache.tsv.gz","RandomForestClassifier","0.516774194","0.861111111","0.499499499","backache.tsv.gz"
"113","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz","RandomForestClassifier","0.5125","0.5125","0.504918288","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz"
"114","GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz","RandomForestClassifier","0.50625","0.50625","0.506098743","GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz"
"115","GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz","RandomForestClassifier","0.504375","0.504375","0.493063788","GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz"
"116","dis.tsv.gz","RandomForestClassifier","0.5","0.984623542","0.496126102","dis.tsv.gz"
"117","coil2000.tsv.gz","RandomForestClassifier","0.5","0.940338017","0.484625879","coil2000.tsv.gz"
"118","connect_4.tsv.gz","RandomForestClassifier","0.5","0.658303359","0.26464935","connect_4.tsv.gz"
"119","monk2.tsv.gz","RandomForestClassifier","0.5","0.657237937","0.396586345","monk2.tsv.gz"
"120","parity5+5.tsv.gz","RandomForestClassifier","0.5","0.504448399","0.335304554","parity5+5.tsv.gz"
"121","GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz","RandomForestClassifier","0.49875","0.49875","0.495314988","GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz"
"122","GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz","RandomForestClassifier","0.479375","0.479375","0.441823455","GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz"
"123","analcatdata_happiness.tsv.gz","RandomForestClassifier","0.475","0.3","0.302788803","analcatdata_happiness.tsv.gz"
"124","postoperative_patient_data.tsv.gz","RandomForestClassifier","0.453125","0.659090909","0.397260274","postoperative_patient_data.tsv.gz"
"125","parity5.tsv.gz","RandomForestClassifier","0","0","0","parity5.tsv.gz"
