Dataset,Dataset_Type,Balanced_Accuracy_Seed1,Balanced_Accuracy_Seed374,Balanced_Accuracy_Seed714,Balanced_Accuracy_Average,Accuracy_Seed1,Accuracy_Seed374,Accuracy_Seed714,Accuracy_Average,Macro_F1_Score_Seed1,Macro_F1_Score_Seed374,Macro_F1_Score_Seed714,Macro_F1_Score_Average,Times_Seed1,Times_Seed374,Times_Seed714,Times_Average
mfeat_karhunen,top,0.963,0.9685,0.9634999999999998,0.9649999999999999,0.963,0.9685,0.9635,0.965,0.9630063570798284,0.9684768257126984,0.9635316610841634,0.9650049479588968,0.8251107999822125,1.707521199947223,0.757971900049597,1.0968679666596775
mfeat_pixel,top,0.9715,0.97,0.968,0.9698333333333333,0.9715,0.97,0.968,0.9698333333333333,0.9714884869840495,0.9699864985165436,0.9679699272428504,0.9698149709144811,0.9550062000053005,1.3285928999539465,1.3621533999685198,1.2152508333092555
mfeat_zernike,top,0.841,0.8385,0.842,0.8405,0.841,0.8385,0.842,0.8405,0.8364322208138157,0.8349419533256149,0.8214560560214107,0.8309434100536137,2.253164699999616,0.6593255999032408,0.7872765001375228,1.2332556000134598
mofn_3_7_10,top,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5404245000099763,1.518671200145036,1.341380000114441,1.1334919000898178
molecular_biology_promoters,top,0.8018867924528302,0.8018867924528302,0.7924528301886793,0.7987421383647799,0.8018867924528302,0.8018867924528302,0.7924528301886793,0.7987421383647799,0.8014450093658014,0.8017279771978267,0.7921568627450981,0.7984432831029088,0.0866897000232711,0.1583883999846875,0.1749686000403016,0.1400155666827534
monk3,top,0.9871292815371764,0.9732403926482872,0.9871292815371764,0.9824996519075467,0.9873646209386282,0.9729241877256316,0.9873646209386282,0.9825511432009627,0.9873388379025176,0.9728986684147188,0.9873388379025176,0.9825254480732513,0.4048367999494076,0.5996429999358952,1.4218550000805408,0.8087782666552812
mushroom,top,0.9998723186925432,1.0,0.9997446373850868,0.9998723186925433,0.9998769079271296,1.0,0.9997538158542588,0.9998769079271295,0.999876747605996,1.0,0.9997534930166976,0.9998767468742312,2.5917939000064507,5.841439200099558,3.77697700005956,4.0700700333885225
mux6,top,0.9140625,0.9453125,0.90625,0.921875,0.9140625,0.9453125,0.90625,0.921875,0.914057254471098,0.9452289259734704,0.9060435527281624,0.9217765777242436,0.2046511999797076,0.4443297998514026,0.1838887000922113,0.2776232333077739
optdigits,top,0.9850588343593902,0.9827261004466352,0.983629940019512,0.9838049582751792,0.9850533807829182,0.9827402135231316,0.9836298932384342,0.9838078291814947,0.9850673767736116,0.9827704126078776,0.9836680173113642,0.9838352688976179,2.2463060000445694,3.4786747999023646,1.786234200000763,2.503738333315899
pendigits,top,0.9930085479303636,0.9927171329218036,0.9935404872235112,0.9930887226918929,0.9929949053857352,0.992721979621543,0.9935407569141194,0.9930858806404658,0.9930185750380144,0.9927385341692516,0.9935515651711436,0.9931028914594698,3.97046500002034,4.56414550000045,1.7856119999996736,3.440074166673488
penguins,top,0.9879129734085416,1.0,0.9928149341928552,0.9935759692004655,0.990990990990991,1.0,0.993993993993994,0.994994994994995,0.9891796233093162,1.0,0.9928149341928552,0.9939981858340571,0.2469731000019237,0.2145702000052551,0.2147660999980871,0.22543646666842196
prnn_crabs,top,0.99,0.995,0.99,0.9916666666666666,0.99,0.995,0.99,0.9916666666666666,0.98999899989999,0.9949998749968748,0.98999899989999,0.9916659582656182,0.1922032000729814,0.0987336000034702,0.1720373999996809,0.15432473335871086
prnn_synth,top,0.868,0.876,0.872,0.872,0.868,0.876,0.872,0.872,0.8678287060029799,0.8759027077228547,0.871967223609244,0.8718995457783595,0.0697262999601662,0.0563019999972311,0.0564008000001194,0.060809699985838905
segmentation,top,0.9696969696969698,0.9692640692640692,0.970995670995671,0.9699855699855701,0.9696969696969696,0.9692640692640692,0.970995670995671,0.9699855699855698,0.969762923648617,0.9692152482831136,0.9709905035430187,0.9699895584915832,1.217425699927844,4.9064480000015465,2.0304831999965245,2.718118966641972
spambase,top,0.9446133100570484,0.9448468576619836,0.9453984296421272,0.9449528657870531,0.9478374266463812,0.947185394479461,0.9476200825907412,0.9475476345721945,0.945299775302272,0.9447181592428596,0.9451836810219504,0.9450672051890274,1.566010699956678,8.324293099998613,8.026706400007242,5.972336733320844
splice,top,0.9234657601954138,0.9195447322290834,0.920632926458082,0.9212144729608598,0.9222082810539524,0.9193851944792972,0.9203262233375156,0.9206398996235885,0.9165311324774926,0.913392205728722,0.9138566896460626,0.9145933426174256,9.338893300038762,1.485122500002035,9.12094690000231,6.648320900014369
texture,top,0.9965454545454544,0.9969090909090906,0.9972727272727272,0.9969090909090906,0.9965454545454544,0.9969090909090907,0.9972727272727272,0.9969090909090909,0.9965458025762004,0.9969098081781216,0.9972728863820862,0.9969094990454694,0.9557278999127448,10.860670099995332,1.2705145000072662,4.362304166638448
threeOf9,top,0.986398208918604,0.9905998895908728,0.9827485738821076,0.9865822241305281,0.986328125,0.990234375,0.982421875,0.986328125,0.9862639363174012,0.9901936373561128,0.982348547241003,0.9862687069715056,0.5912628999212757,0.3929887000122107,0.1920159999863244,0.3920891999732703
tokyo1,top,0.926281718828089,0.9268404228234118,0.9222482060179727,0.9251234492231578,0.9290928050052136,0.9322210636079248,0.9311783107403544,0.9308307264511643,0.923606425251162,0.9265718408575552,0.9249138740995928,0.9250307134027699,0.4870589999482035,0.1722887000069022,0.5271447999984957,0.3954974999845338
twonorm,top,0.9786479771973552,0.9794583502648028,0.9789169328160988,0.9790077534260856,0.9786486486486486,0.9794594594594594,0.9789189189189188,0.979009009009009,0.9786485925017772,0.9794593634331088,0.9789186971725634,0.9790088843691498,0.5518856999697164,4.446009500010405,2.896754699992016,2.631549966657379
vowel,top,0.9707070707070709,0.9595959595959596,0.9686868686868688,0.9663299663299664,0.9707070707070709,0.9595959595959596,0.9686868686868688,0.9663299663299664,0.9706361700920998,0.9594383363963054,0.9685470865594992,0.9662071976826349,1.2958248999202624,1.4108374000061303,1.2226202999881934,1.3097608666381955
waveform_21,top,0.8717869145765285,0.8706259130741233,0.870470043527436,0.8709609570593626,0.872,0.8708,0.8706,0.8711333333333333,0.8715647984842372,0.8704780164403142,0.8703341196381836,0.8707923115209116,2.7140266000060365,6.442951000004541,4.914833400020143,4.690603666676907
waveform_40,top,0.8681120071345548,0.8667219666046998,0.8691239482131055,0.86798597398412,0.8678,0.8664,0.8688,0.8676666666666666,0.8676870056150688,0.8662690754200644,0.86866864628839,0.8675415757745077,3.788652000017464,2.3153401000017766,1.3828304999915415,2.4956075333369276
