rank,dataset,classifier,params,accuracy,macro_f1,balanced_accuracy,source_file
41,churn,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9408,0.8610466417602161,0.8184297914667178,churn.tsv.gz
42,soybean,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9407407407407408,0.9644874603550194,0.982713657672079,soybean.tsv.gz
43,twonorm,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9404054054054054,0.9404053172540303,0.9404050375197471,twonorm.tsv.gz
44,coil2000,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9403380166972104,0.48462587889600167,0.5,coil2000.tsv.gz
45,ionosphere,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9401709401709402,0.9336549626015967,0.9253968253968254,ionosphere.tsv.gz
46,splice,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9366373902132998,0.9297239745624263,0.9542758430544683,splice.tsv.gz
47,mfeat_karhunen,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9355,0.9354990528434529,0.9641666666666666,mfeat_karhunen.tsv.gz
48,tokyo1,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.935349322210636,0.9293713769837499,0.92614027477864,tokyo1.tsv.gz
49,dna,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9306340238543629,0.9216260588481848,0.9454150731308427,dna.tsv.gz
50,spambase,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9211041078026516,0.9165753455653909,0.9127169984671522,spambase.tsv.gz
51,spectf,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9054441260744985,0.8818345046939927,0.8856195607128057,spectf.tsv.gz
52,ring,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9052702702702703,0.9050849310919784,0.9057859677585256,ring.tsv.gz
53,analcatdata_bankruptcy,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9,0.8999599839935974,0.9,analcatdata_bankruptcy.tsv.gz
54,nursery,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.8952770489273036,0.6796982034527408,0.8249863986587705,nursery.tsv.gz
