dataset,target_column,rows,features,classes,class_imbalance,missing_values_count,missing_values_ratio,numeric_features,categorical_features,feature_type,xgb_accuracy,xgb_macro_f1,xgb_balanced_accuracy,rf_accuracy,rf_macro_f1,rf_balanced_accuracy,logreg_accuracy,logreg_macro_f1,logreg_balanced_accuracy,n_models_success,mean_accuracy_3models,mean_macro_f1_3models,mean_balanced_accuracy_3models,std_accuracy_3models,selected_for_mlp_eval,selection_rank_top40,selection_score,selection_justification_short
biomed.tsv.gz,target,209,8,2,0.0398457,0,0,8,0,numeric,0.645933014,0.593598907,0.591791045,0.894736842,0.881860226,0.870945274,0.837320574,0.828655478,0.840845771,3,0.792663477,0.768038204,0.767860697,0.106368944,TRUE,30,0.786218477,"selected: all-3-model coverage; avg_acc=0.793, avg_macro_f1=0.768, avg_bal_acc=0.768; stability_std_acc=0.106; small dataset (209 rows, 8 features), well-balanced (class_imbalance=0.040)"
breast_cancer.tsv.gz,target,286,9,2,0.082253411,0,0,9,0,numeric,0.702797203,0.524926228,0.54413228,0.741258741,0.614499089,0.608838162,0.72027972,0.632130684,0.624465906,3,0.721445221,0.590518667,0.592478783,0.01572347,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
bupa.tsv.gz,target,345,5,2,0.000205839,0,0,5,0,numeric,0.52173913,0.52173913,0.521954008,0.571014493,0.570722357,0.571779182,0.608695652,0.608695652,0.608946342,3,0.567149758,0.56705238,0.567559844,0.035604881,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
calendarDOW.tsv.gz,target,399,32,5,0.011223548,0,0,32,0,numeric,,,,0.619047619,0.592113465,0.747579126,0.56641604,0.531790597,0.711171622,2,0.59273183,0.561952031,0.729375374,0.026315789,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
car_evaluation.tsv.gz,target,1728,6,4,0.292716237,0,0,6,0,numeric,0.58275463,0.292674529,0.541219428,0.94849537,0.871887868,0.933255801,0.712962963,0.37720932,0.637327079,3,0.748070988,0.513923905,0.703934102,0.151362704,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
cars.tsv.gz,target,392,8,3,0.127997883,0,0,8,0,numeric,0.599489796,0.506727537,0.651873835,0.941326531,0.919791672,0.93476079,0.739795918,0.655601873,0.774423664,3,0.760204082,0.694040361,0.78701943,0.140298392,TRUE,40,0.749340518,"selected: all-3-model coverage; avg_acc=0.760, avg_macro_f1=0.694, avg_bal_acc=0.787; stability_std_acc=0.140; small dataset (392 rows, 8 features), moderately imbalanced (class_imbalance=0.128)"
chess.tsv.gz,target,3196,36,2,0.000987036,0,0,36,0,numeric,0.531914894,0.517842744,0.540572472,0.970588235,0.970539492,0.970697213,0.964643304,0.964589136,0.964810169,3,0.822382144,0.817657124,0.825359951,0.205405702,TRUE,20,0.83030438,"selected: all-3-model coverage; avg_acc=0.822, avg_macro_f1=0.818, avg_bal_acc=0.825; stability_std_acc=0.205; medium dataset (3196 rows, 36 features), well-balanced (class_imbalance=0.001)"
churn.tsv.gz,target,5000,20,2,0.25718792,0,0,20,0,numeric,0.7826,0.55779843,0.55853152,0.9408,0.861046642,0.818429791,0.7152,0.569013943,0.612619273,3,0.812866667,0.662619672,0.663193528,0.094554723,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
clean1.tsv.gz,target,476,168,2,0.008482805,0,0,168,0,numeric,1,1,1,1,1,1,0.99789916,0.997861702,0.997584541,3,0.99929972,0.999287234,0.999194847,0.000990346,TRUE,1,0.998880005,"selected: all-3-model coverage; avg_acc=0.999, avg_macro_f1=0.999, avg_bal_acc=0.999; stability_std_acc=0.001; small dataset (476 rows, 168 features), well-balanced (class_imbalance=0.008)"
clean2.tsv.gz,target,6598,168,2,0.239241575,0,0,168,0,numeric,1,1,1,1,1,1,1,1,1,3,1,1,1,0,TRUE,2,0.988037921,"selected: all-3-model coverage; avg_acc=1.000, avg_macro_f1=1.000, avg_bal_acc=1.000; stability_std_acc=0.000; medium dataset (6598 rows, 168 features), highly imbalanced (class_imbalance=0.239)"
