"rank","dataset","classifier","balanced_accuracy","accuracy","macro_f1","source_file"
"87","analcatdata_dmft.tsv.gz","XGBClassifier","0.505924641","0.17565872","0.176117989","analcatdata_dmft.tsv.gz"
"88","GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz","XGBClassifier","0.503125","0.503125","0.503081326","GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz"
"89","parity5+5.tsv.gz","XGBClassifier","0.502716746","0.502669039","0.502668645","parity5+5.tsv.gz"
"90","spect.tsv.gz","XGBClassifier","0.502229846","0.573033708","0.483821734","spect.tsv.gz"
"91","Hill_Valley_with_noise.tsv.gz","XGBClassifier","0.499174917","0.499174917","0.484719503","Hill_Valley_with_noise.tsv.gz"
"92","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz","XGBClassifier","0.498125","0.498125","0.457267183","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz"
"93","coil2000.tsv.gz","XGBClassifier","0.497202666","0.924557117","0.489656933","coil2000.tsv.gz"
"94","backache.tsv.gz","XGBClassifier","0.495483871","0.766666667","0.495192308","backache.tsv.gz"
"95","allbp.tsv.gz","XGBClassifier","0.494366633","0.934517497","0.325414068","allbp.tsv.gz"
"96","GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz","XGBClassifier","0.4925","0.4925","0.468202679","GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz"
"97","analcatdata_boxing1.tsv.gz","XGBClassifier","0.483516484","0.55","0.480102696","analcatdata_boxing1.tsv.gz"
"98","parity5.tsv.gz","XGBClassifier","0.46875","0.46875","0.464039409","parity5.tsv.gz"
"99","dis.tsv.gz","XGBClassifier","0.463256457","0.878844115","0.472078053","dis.tsv.gz"
